A_RowId,CATEGORY,FULL_URL,aa_label,URI
1,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|,ACCOUNTING,|accounting|accounting resources
2,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|#main content,ACCOUNTING,|accounting|accounting resources
3,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|career opportunities,ACCOUNTING,|accounting|accounting resources
4,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|career opportunities|,ACCOUNTING,|accounting|accounting resources
5,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|career opportunities|#,ACCOUNTING,|accounting|accounting resources
6,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|career opportunities|#main content,ACCOUNTING,|accounting|accounting resources
7,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|career opportunities||,ACCOUNTING,|accounting|accounting resources
8,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|career opportunities||#,ACCOUNTING,|accounting|accounting resources
9,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|case competition|,ACCOUNTING,|accounting|accounting resources
10,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|case competition|#,ACCOUNTING,|accounting|accounting resources
11,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|case competition|#main content,ACCOUNTING,|accounting|accounting resources
12,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|accounting resources|case competition||,ACCOUNTING,|accounting|accounting resources
13,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|contact us|,ACCOUNTING,|accounting|contact us
14,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|contact us|#,ACCOUNTING,|accounting|contact us
15,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|contact us|#main content,ACCOUNTING,|accounting|contact us
16,Recreation | Georgetown University,http:||recreation.georgetown.edu|online account,ACCOUNTING,|online account
17,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|#,ACCOUNTING,|accounting
18,Accounting Department | NC State University,https:||poole.ncsu.edu|accounting|#main content,ACCOUNTING,|accounting
19,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|accounting|,ACCOUNTING,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ACCOUNTING
20,Academic Advising - Certificates & Degrees | Community College of Denver,http:||catalog.ccd.edu|programs-courses|certificates-degrees|associate-applied-science-degrees-certificates|accounting|,ACCOUNTING,|PROGRAMS-COURSES|CERTIFICATES-DEGREES|ASSOCIATE-APPLIED-SCIENCE-DEGREES-CERTIFICATES|ACCOUNTING
21,Academic Advising - Certificates & Degrees | Community College of Denver,http:||catalog.ccd.edu|programs-courses|certificates-degrees|associate-applied-science-degrees-certificates|accounting||search|?P=ACC%20280,ACCOUNTING,|PROGRAMS-COURSES|CERTIFICATES-DEGREES|ASSOCIATE-APPLIED-SCIENCE-DEGREES-CERTIFICATES|ACCOUNTING
22,Academic Programs Table - Moraine Valley Community College,http:||morainevalley.smartcatalogiq.com|en|2017-2018|Catalog|Career-Programs|Business-Administration-Associate|Accounting-Assistant-Clerk-Certificate,ACCOUNTING,|EN|2017-2018|CATALOG|CAREER-PROGRAMS|BUSINESS-ADMINISTRATION-ASSOCIATE|ACCOUNTING-ASSISTANT-CLERK-CERTIFICATE
23,Academic Programs Table - Moraine Valley Community College,http:||morainevalley.smartcatalogiq.com|en|2017-2018|Catalog|Career-Programs|Office-Systems-and-Applications|Administrative-Assistant-Certificate,ACCOUNTING,|EN|2017-2018|CATALOG|CAREER-PROGRAMS|OFFICE-SYSTEMS-AND-APPLICATIONS|ADMINISTRATIVE-ASSISTANT-CERTIFICATE
24,Academic Programs Table - Moraine Valley Community College,http:||morainevalley.smartcatalogiq.com|en|2017-2018|Catalog|Career-Programs|Office-Systems-and-Applications|Receptionist-Office-Assistant-Certificate,ACCOUNTING,|EN|2017-2018|CATALOG|CAREER-PROGRAMS|OFFICE-SYSTEMS-AND-APPLICATIONS|RECEPTIONIST-OFFICE-ASSISTANT-CERTIFICATE
25,University of Manitoba - Student Affairs - Admissions - Undergraduate Program Options,http:||umanitoba.ca|student|admissions|programs|accounting.html,ACCOUNTING,|STUDENT|ADMISSIONS|PROGRAMS
26,http:||www.bmcc.cuny.edu|accounting|,http:||www.bmcc.cuny.edu|accounting|acp.jsp,ACCOUNTING,|ACCOUNTING
27,http:||www.bmcc.cuny.edu|accounting|,http:||www.bmcc.cuny.edu|accounting|forensic_accounting.jsp,ACCOUNTING,|ACCOUNTING
28,http:||www.bmcc.cuny.edu|accounting|,http:||www.bmcc.cuny.edu|accounting|programs.jsp,ACCOUNTING,|ACCOUNTING
29,http:||www.bmcc.cuny.edu|accounting|,http:||www.bmcc.cuny.edu|accounting|view_course.jsp?id=151,ACCOUNTING,|ACCOUNTING
30,SUNY Canton - Course Descriptions,http:||www.canton.edu|course_descriptions|accounting.html,ACCOUNTING,|COURSE_DESCRIPTIONS
31,,http:||www.ccc.edu|programs|pages|Accounting-Clerk-Basic-Certificate.aspx,ACCOUNTING,|PROGRAMS|PAGES
32,Majors and Programs,http:||www.delhi.edu|academics|majors-programs|associates|accounting|index.php,ACCOUNTING,|ACADEMICS|MAJORS-PROGRAMS|ASSOCIATES|ACCOUNTING
33,Certificate Programs and Gainful Employment | Glendale Community College,http:||www.glendale.edu|academics|degree-certificate-programs|certificate-programs|accounting,ACCOUNTING,|ACADEMICS|DEGREE-CERTIFICATE-PROGRAMS|CERTIFICATE-PROGRAMS|ACCOUNTING
34,Certificate Programs and Gainful Employment | Glendale Community College,http:||www.glendale.edu|academics|degree-certificate-programs|certificate-programs|bookkeeping,ACCOUNTING,|ACADEMICS|DEGREE-CERTIFICATE-PROGRAMS|CERTIFICATE-PROGRAMS|BOOKKEEPING
35,Certificate Programs and Gainful Employment | Glendale Community College,http:||www.glendale.edu|academics|degree-certificate-programs|certificate-programs|computerized-accounting-specialist-nd,ACCOUNTING,|ACADEMICS|DEGREE-CERTIFICATE-PROGRAMS|CERTIFICATE-PROGRAMS|COMPUTERIZED-ACCOUNTING-SPECIALIST-ND
36,Certificate Programs and Gainful Employment | Glendale Community College,http:||www.glendale.edu|academics|degree-certificate-programs|certificate-programs|tax-preparer-nd,ACCOUNTING,|ACADEMICS|DEGREE-CERTIFICATE-PROGRAMS|CERTIFICATE-PROGRAMS|TAX-PREPARER-ND
37,Certificate Programs and Gainful Employment | Glendale Community College,http:||www.glendale.edu|students|student-services|career-center|recommended-web-resources|researching-careers-majors|career-profiles|accounting,ACCOUNTING,|ACADEMICS|DEGREE-CERTIFICATE-PROGRAMS|CERTIFICATE-PROGRAMS|ACCOUNTING
