A_RowId,CATEGORY,FULL_URL,HOST,URI,TARGET
1205414255,Agricultural Economics | Institute of Agriculture and Natural Resources,http:||agecon.unl.edu|,agecon.unl.edu,,AGRICULTURE
1945001260,people and globe,http:||alec.unl.edu,alec.unl.edu,|agedcde,INTERNATIONAL STUDIES
-1588424889,Animal Science | Institute of Agriculture and Natural Resources,http:||animalscience.unl.edu|,animalscience.unl.edu,,AGRICULTURE
1895907949,Academic departments  |  About the UW,http:||arch.be.washington.edu|,arch.be.washington.edu,,ARCHITECTURE
-407668428,College of Architecture | University of Nebraskaâ€“Lincoln,http:||architecture.unl.edu|,architecture.unl.edu,,ARCHITECTURE
2016315381,Academic departments  |  About the UW,http:||art.washington.edu|,art.washington.edu,,VISUAL ART
-1162712115,Glenn Korff School of Music | Hixson-Lied College of Fine and Performing Arts | University of Nebraskaâ€“Lincoln,http:||arts.unl.edu|music,arts.unl.edu,|music,MUSIC
-646396814,Faculties & Departments - Acadia University,http:||artsacadia.acadiau.ca|,artsacadia.acadiau.ca,,VISUAL ART
-2145631242,Academic departments  |  About the UW,http:||asian.washington.edu,asian.washington.edu,,ASIAN STUDIES
273040388,UBC Faculty of Land and Food Systems,http:||awp.landfood.ubc.ca|,awp.landfood.ubc.ca,,AGRICULTURE
585533219,Biochemistry | University of Nebraskaâ€“Lincoln,http:||biochem.unl.edu,biochem.unl.edu,|alumni-friends,BIOCHEMISTRY
1952373026,Faculties & Departments - Acadia University,http:||biology.acadiau.ca|,biology.acadiau.ca,,BIOLOGY
-370431899,School of Biological Sciences | University of Nebraskaâ€“Lincoln,http:||biosci.unl.edu|about,biosci.unl.edu,|about,BIOLOGY
432287191,DeGroote School of Business - McMaster University - Commerce- MBA- PhD,http:||bizx.degroote.mcmaster.ca|,bizx.degroote.mcmaster.ca,,BUSINESS
295245354,Faculties & Departments - Acadia University,http:||botanicalgardens.acadiau.ca|,botanicalgardens.acadiau.ca,,BIOLOGY
-435834402,Brock University logo,http:||brocku.ca|applied-health-sciences|,brocku.ca,|applied-health-sciences|health-sciences,HEALTH
259971861,Brock University logo,http:||brocku.ca|education,brocku.ca,|education|contact-us,EDUCATION
-789251970,Goodman School of Business logo,http:||brocku.ca|goodman,brocku.ca,|goodman|programs|bacc,BUSINESS
359371743,Biological Systems Engineering Department | College of Engineering | University of Nebraskaâ€“Lincoln,http:||bse.unl.edu,bse.unl.edu,,BIOLOGY
-1685628443,Faculties & Departments - Acadia University,http:||business.acadiau.ca|,business.acadiau.ca,,BUSINESS
-1109997530,Business | Nebraska,http:||business.unl.edu|,business.unl.edu,,BUSINESS
-1399246248,uoit-logo,http:||businessandit.uoit.ca,businessandit.uoit.ca,,BUSINESS
-2060378268,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|accounting|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ACCOUNTING,ACCOUNTING
-119179838,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|africanstudies|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|AFRICANSTUDIES,AFRICAN
-2063654879,Search Carleton University Calendars,http:||calendar.carleton.ca|undergrad|undergradprograms||grad|gradprograms|anthropology|,calendar.carleton.ca,|UNDERGRAD|UNDERGRADPROGRAMS||GRAD|GRADPROGRAMS|ANTHROPOLOGY,ANTHROPOLOGY
