xxxxxxx	XXXXXXXXX
OPENLOCATION	JOBLOCATION
ACCOUNTING DEGREE	DEGREEPROGRAM
ADULT EDUCATION DEGREE	DEGREEPROGRAM
ADVERTISING DEGREE	DEGREEPROGRAM
AFRICAN AMERICAN STUDIES DEGREE	DEGREEPROGRAM
ANIMATION DEGREE	DEGREEPROGRAM
ANTHROPOLOGY DEGREE	DEGREEPROGRAM
ARCHAEOLOGY DEGREE	DEGREEPROGRAM
ARCHITECTURE DEGREE	DEGREEPROGRAM
ART DEGREE	DEGREEPROGRAM
ART HISTORY DEGREE	DEGREEPROGRAM
ARTS DEGREE	DEGREEPROGRAM
ASIAN STUDIES DEGREE	DEGREEPROGRAM
BACHELOR OF DESIGN DEGREE	DEGREEPROGRAM
BEHAVIORAL OR SOCIAL SCIENCES DEGREE	DEGREEPROGRAM
BEHAVIORAL SCIENCE DEGREE	DEGREEPROGRAM
BEHAVIORAL SCIENCES DEGREE	DEGREEPROGRAM
BEHAVIOURAL OR SOCIAL SCIENCES DEGREE	DEGREEPROGRAM
BEHAVIOURAL SCIENCE DEGREE	DEGREEPROGRAM
BEHAVIOURAL SCIENCES DEGREE	DEGREEPROGRAM
BIOCHEMISTRY DEGREE	DEGREEPROGRAM
BIOLOGICAL STUDIES DEGREE	DEGREEPROGRAM
BIOLOGY DEGREE	DEGREEPROGRAM
BIOMEDICAL DEGREE	DEGREEPROGRAM
BIOTECHNOLOGY DEGREE	DEGREEPROGRAM
BUSINESS ADMINISTRATION DEGREE	DEGREEPROGRAM
BUSINESS COMMUNICATION DEGREE	DEGREEPROGRAM
BUSINESS DEGREE	DEGREEPROGRAM
BUSINESS INFORMATION SYSTEMS DEGREE	DEGREEPROGRAM
BUSINESS MANAGEMENT DEGREE	DEGREEPROGRAM
CG ART DEGREE	DEGREEPROGRAM
CG DESIGN DEGREE	DEGREEPROGRAM
CHEMICAL ENGINEERING DEGREE	DEGREEPROGRAM
CHEMISTRY DEGREE	DEGREEPROGRAM
CHILD DEVELOPMENT DEGREE	DEGREEPROGRAM
CHOREOGRAPHY DEGREE	DEGREEPROGRAM
CINEMATOGRAPHY DEGREE	DEGREEPROGRAM
CIVIL ENGINEERING DEGREE	DEGREEPROGRAM
CLASSICS DEGREE	DEGREEPROGRAM
COGNITIVE PSYCHOLOGY DEGREE	DEGREEPROGRAM
COGNITIVE SCIENCE DEGREE	DEGREEPROGRAM
COMMERCE DEGREE	DEGREEPROGRAM
COMMUNICATIONS DEGREE	DEGREEPROGRAM
COMPUTER SCIENCE DEGREE	DEGREEPROGRAM
COMPUTER SCIENCE/MIS DEGREE	DEGREEPROGRAM
CONSTRUCTION MANAGEMENT DEGREE	DEGREEPROGRAM
COUNSELING DEGREE	DEGREEPROGRAM
CRIMINAL JUSTICE DEGREE	DEGREEPROGRAM
CRIMINOLOGY DEGREE	DEGREEPROGRAM
CRIMINOOLOGY DEGREE	DEGREEPROGRAM
CYBER SECURITY DEGREE	DEGREEPROGRAM
DANCE DEGREE	DEGREEPROGRAM
DESIGN DEGREE	DEGREEPROGRAM
DIGITAL MEDIA DEGREE	DEGREEPROGRAM
EARLY CHILDHOOD DEGREE	DEGREEPROGRAM
EARLY CHILDHOOD EDUCATION DEGREE	DEGREEPROGRAM
EARLY CHILDHOOD SPECIAL EDUCATION DEGREE	DEGREEPROGRAM
ECONOMICS DEGREE	DEGREEPROGRAM
ELECTRIC ENGINEERING DEGREE	DEGREEPROGRAM
ELECTRICAL ENGINEERING DEGREE	DEGREEPROGRAM
ELECTRICAL OR MECHANICAL ENGINEERING DEGREE	DEGREEPROGRAM
ELECTRONIC ENGINEERING DEGREE	DEGREEPROGRAM
ENGINEERING DEGREE	DEGREEPROGRAM
ENGINEERING MANAGEMENT DEGREE	DEGREEPROGRAM
ENGLISH DEGREE	DEGREEPROGRAM
ENVIRONMENTAL ENGINEERING DEGREE	DEGREEPROGRAM
ENVIRONMENTAL SCIENCE DEGREE	DEGREEPROGRAM
EPIDEMIOLOGY DEGREE	DEGREEPROGRAM
FEMINIST STUDIES DEGREE	DEGREEPROGRAM
FILM DEGREE	DEGREEPROGRAM
FINANCE DEGREE	DEGREEPROGRAM
FINANCE/ACCOUNTING DEGREE	DEGREEPROGRAM
FINE ARTS DEGREE	DEGREEPROGRAM
FOOD SCIENCES DEGREE	DEGREEPROGRAM
FRENCH DEGREE	DEGREEPROGRAM
GENDER STUDIES DEGREE	DEGREEPROGRAM
GEOGRAPHY DEGREE	DEGREEPROGRAM
GEOLOGY DEGREE	DEGREEPROGRAM
GERMAN DEGREE	DEGREEPROGRAM
GRAPHIC DESIGN DEGREE	DEGREEPROGRAM
HEALTH ADMINISTRATION DEGREE	DEGREEPROGRAM
HEALTH POLICY DEGREE	DEGREEPROGRAM
HEALTH SCIENCE DEGREE	DEGREEPROGRAM
HEALTHCARE ADMINISTRATION DEGREE	DEGREEPROGRAM
HEALTHCARE DEGREE	DEGREEPROGRAM
HISTORY DEGREE	DEGREEPROGRAM
HISTOTECHNOLOGY DEGREE	DEGREEPROGRAM
HOSPITALITY MANAGEMENT DEGREE	DEGREEPROGRAM
HR DEGREE	DEGREEPROGRAM
HUMAN RESOURCE DEGREE	DEGREEPROGRAM
HUMAN RESOURCES DEGREE	DEGREEPROGRAM
HUMAN SERVICES DEGREE	DEGREEPROGRAM
INDUSTRIAL ENGINEERING DEGREE	DEGREEPROGRAM
INDUSTRIAL PSYCHOLOGY DEGREE	DEGREEPROGRAM
INFORMATION MANAGEMENT DEGREE	DEGREEPROGRAM
INFORMATION SCIENCE DEGREE	DEGREEPROGRAM
INFORMATION STUDIES DEGREE	DEGREEPROGRAM
INFORMATION SYSTEMS DEGREE	DEGREEPROGRAM
INSTRUCTIONAL DESIGN DEGREE	DEGREEPROGRAM
INSTRUCTIONAL TECHNOLOGY DEGREE	DEGREEPROGRAM
INTERNATIONAL BUSINESS DEGREE	DEGREEPROGRAM
INTERNATIONAL STUDIES DEGREE	DEGREEPROGRAM
IT DEGREE	DEGREEPROGRAM
IT RELATED DEGREE	DEGREEPROGRAM
ITALIAN DEGREE	DEGREEPROGRAM
JOURNALISM DEGREE	DEGREEPROGRAM
